dataset,image_number,title,tags_ko,motion_exist,greenscreen_exist
dataset1,1,세개의 크리스마스 트리,"['조명', '나무', '겨울', '크리스마스', '산타', '캐롤', '모션그래픽', '전구', '트리', '장식', '12월', '연말', '성탄절']",True,True
dataset1,2,저수지마을_구름_일몰,"['시골', '일몰', '마을', '구름', '지붕', '전경', '산', '강물', '강', '타임랩스', '강가', '저수지', 'timelapse']",False,False
dataset1,3,염전 곰소 드론 -20 _2160p_30fps_prores422,"['바다', '농사', '드론', '갯벌', '염전', '곰소', '소금', '바닷물', '천일염', '서해안', '신안']",False,False
dataset1,4,변산 솔섬 해변 일몰 석양 노을 -2 _2160p_60fps_prores422,"['나무', '일몰', '자연', '바다', '해', '산', '노을', '바닷가', '소나무', '석양', '변산', '국립공원']",False,False
dataset1,5,20210724_제스처_권미정_손가락을 비비다,"['인물', '손', '손가락', '제스쳐', '비비다', '크로마키']",False,True
dataset1,6,20211021 동물_개_말티즈_하리네쉼터_자리에 앉는 말티즈1,"['동물', '개', '강아지', '앉아', '말티즈', '소형견']",False,False
dataset1,7,20210724_소통_이수민,"['인물', '소통', '불만', '여자', '대화', '충격', '남자', '크로마키']",False,True
dataset1,8,20210724_감정_황태완_감사하다,"['인물', '인사', '사람', '감정', '남자', '감사', '크로마키']",False,True
dataset1,9,20211021 동물_개_스피츠2_하리네쉼터_서있는 스피츠3,"['미용', '옷', '동물', '털', '개', '강아지', '애견', '반려', '스피츠']",False,False
dataset1,10,좋아요 클릭,"['유튜브', 'SNS', '파랑', '버튼', '언론', '모션그래픽', '인스타', '템플릿', '인스타그램', '공유', '스트리밍', '성공', '블로그', '심벌', '어플리케이션', '추천', '페이스북', '소셜미디어']",True,True
dataset1,12,연잎에 맺힌 이슬3,"['자연', '그림', '식물', '연잎', '추상', '디지털아트']",False,False
dataset1,15,20210724_소통_문정수,"['인물', '소통', '여자', '행복', '즐거움', '표현', '감정', '연인', '응원', '남자', '승리', '크로마키', '부부', '커플', '축구', '친구', '리액션', '기쁨', '골', '이김']",False,True
dataset1,16,211006_문화_서울시 랜드마크 동상,"['문화', '문화재', '서울', '조선', '랜드마크', '동상', '역사', '서울시', '임금', '조선시대', '시대', '왕', '보존']",False,False
dataset1,18,읽기 쓰기 말하기,"['키즈', '어린이', '교육', '학교', '초등학생', '초등학교']",True,False
dataset1,19,인트로,"['감성', '인트로', '브이로그', '프리뷰', '이모지', '이모티콘', '귀여운', '하이라이트', '키치', '크로마키', '데일리']",True,True
dataset1,20,올림픽공원_송파구_88호수 (2),"['공원', '올림픽', '호수', '호숫가', '올림픽공원', '송파', '타임랩스', 'timelapse']",False,False
dataset1,21,DUCK POI,"['풍경', '자연', '물', '배경', '전경', '오리', '물가', '강', '하천', '강가']",False,False
dataset1,23,황당(얼굴형),"['황당', '피곤', '어이', '식은땀', '당황', '아픔', '표정']",True,True
dataset1,24,회색 음악 재생 플레이어,"['레트로', '음악', '기계', '회색', '모션그래픽', '힙합', '스트리밍']",True,True
dataset1,26,전남영암범종각_핸드헬드,"['전통', '문화', '역사', '전라도', '전라남도', '종']",False,False
dataset1,27,20210724_감정_문정수_억울하다,"['인물', '불만', '대화', '감정', '남자', '크로마키', '억울', '설득', '변론']",False,True
dataset1,28,211005_문화_문화서울역~보신각_흥인지문 공원 성곽 패닝샷,"['전통', '문화', '한국', '문화재', '벽', '공원', '돌담', '수도', '전쟁', '도심', '역사', '성곽', '도성']",False,False
dataset1,29,211007_문화_놀이_장기 픽스샷,"['전통', '문화', '할아버지', '한국', '게임', '취미', '지능', '장소', '싸움', '경기', '내기', '바둑판']",False,False
dataset1,30,시티팝 로딩 숫자,"['90년대', '도트', '팝', '팩맨', '감성', '레트로', '90년', '픽셀', '그래픽', '시티팝', '뉴트로', '로딩바', '로딩', '숫자']",True,False
dataset1,31,20210725_소통_염승철,"['인물', '소통', '크로마키', '다행', '위로', '안심', '괜찮아']",False,True
dataset1,33,(드론) 인천 송도 전경,"['도시', '건물', '경제', '발전', '전경', '빌딩', '기술', '인천', '드론', '고층', '중심부', '테크', '고층빌딩', '도심부', '송도', 'tech', '산업', '성장', '중심', '신기술', '기업']",False,False
dataset1,35,20210724_제스처_김보미_노크하다,"['인물', '손', '노크', '제스쳐', '주먹', '똑똑', '크로마키']",False,True
dataset1,37,여수,['지도'],True,False
dataset1,38,성수구름다리_성동구_강북강변로 (5),"['도시', '자동차', '서울', '구름', '한강', '타임랩스', '교통', '강북강변로', '성동구']",False,False
dataset1,39,노랑 낙엽위에 누워있는 길고양이,"['검정', '노랑', '동물', '고양이', '가을', '휴식', '생물', '포유류', '야생', '아름다움', '낙엽', '4K', '야생동물', '귀여움', '은행', '길고양이', '길냥이', '하품', '졸림', '편안', '추위']",False,False
dataset1,40,풍차1,"['나무', '한국', '유원지', '여행', '바람', '휴가', '풍차', '네덜란드', '날개']",False,False
dataset1,41,20210901_사물_크래파스_카키색,['사물'],False,False
dataset1,43,한국 전통문화 물레 위 반원형 무늬 찍어내는 도예가,"['인물', '직업', '전통', '흙', '도자기', '예술', '문화', '물레', '패턴', '무늬', '한국', '영상']",False,False
dataset1,44,동물원 헤엄치는 물개들,"['물', '바다', '동물', '포유류', '동물원', '야생', '4K', '야생동물', '수영', '귀여움', '모피', '멸종위기']",False,False
dataset1,45,20210918_장소_조천_스위스마을 전경(드론),['장소'],False,False
dataset1,47,로딩중,['로딩'],True,False
dataset1,48,라이브 카메라 화면,"['방송', '카메라', '촬영', '영상', 'SNS', '크리에이터', '모션그래픽', '인스타', '인스타그램', '스트리밍', '라이브', '페이스북', '소셜미디어']",True,True
dataset1,49,커서 클릭,"['감성', '투명', '마우스', '클릭']",True,True
