dataset,image_number,title,tags_ko,motion_exist,greenscreen_exist
dataset1,1,세개의 크리스마스 트리,"['조명', '나무', '그린스크린', '겨울', '크리스마스', '산타', '캐롤', '모션그래픽', '전구', '트리', '장식', '12월', '연말', '성탄절']",True,True
dataset1,2,저수지마을_구름_일몰,"['시골', '일몰', '마을', '구름', '지붕', '전경', '산', '강물', '강', '타임랩스', '강가', '저수지', '저수지마을', 'timelapse', '시골집', '시골마을', '정겨운', '정겹다', '고향']",False,False
dataset1,3,염전 곰소 드론 -20 _2160p_30fps_prores422,"['바다', '농사', '드론', '갯벌', '염전', '곰소', '소금', '바닷물', '천일염', '서해안', '신안']",False,False
dataset1,4,변산 솔섬 해변 일몰 석양 노을 -2 _2160p_60fps_prores422,"['나무', '일몰', '자연', '바다', '해', '산', '노을', '바닷가', '소나무', '석양', '변산', '전라북도', '부안군', '변산반도', '국립공원']",False,False
dataset1,5,20210724_제스처_권미정_손가락을 비비다,"['인물', '그린스크린', '손', '손가락', '제스쳐', '비비다', '크로마키', '수입', '짭짤']",False,True
dataset1,6,20211021 동물_개_말티즈_하리네쉼터_자리에 앉는 말티즈1,"['동물', '개', '강아지', '앉아', '말티즈', '소형견', '말티']",False,False
dataset1,7,20210724_소통_이수민,"['김보미_충격받다', '인물', '그린스크린', '소통', '불만', '여자', '대화', '충격', '남자', '크로마키']",False,True
dataset1,8,20210724_감정_황태완_감사하다,"['인물', '그린스크린', '인사', '사람', '감정', '와우', '남자', '감사', '겸손', '크로마키']",False,True
dataset1,9,20211021 동물_개_스피츠2_하리네쉼터_서있는 스피츠3,"['미용', '옷', '동물', '털', '개', '강아지', '애견', '반려', '스피츠', '쫑긋']",False,False
dataset1,10,좋아요 클릭,"['그린스크린', '유튜브', 'SNS', '파랑', '버튼', '언론', '모션그래픽', '인스타', '템플릿', '인스타그램', '공유', '스트리밍', '성공', '블로그', '심벌', '어플리케이션', '추천', '페이스북', '소셜미디어']",True,True
dataset1,12,연잎에 맺힌 이슬3,"['자연', '그림', '식물', '연잎', '추상', '디지털아트']",False,False
dataset1,15,20210724_소통_문정수,"['권미정_응원하다', '인물', '그린스크린', '소통', '여자', '행복', '즐거움', '표현', '감정', '연인', '응원', '남자', '승리', '크로마키', '부부', '커플', '축구', '친구', '리액션', '우승', '기쁨', '골', '이김']",False,True
dataset1,16,211006_문화_서울시 랜드마크 동상,"['사대문_세종대왕동상틸업샷', '문화', '문화재', '서울', '조선', '랜드마크', '동상', '역사', '서울시', '임금', '임금님', '조선시대', '시대', '왕', '보존', '세종', '훈민정음', '문학', '세력', '이도']",False,False
dataset1,17,서울숲 동상이 있는 광장 틸업샷,"['조각상', '미술', '조각', '사물', '장소', '서울', '공원', '식물', '가을', '풀', '4K', '서울숲', '대한민국', '랜드마크', '동상', '경주마', '기수', '마스크', '9월', '경주']",False,False
dataset1,18,읽기 쓰기 말하기,"['키즈', '어린이', '교육', '공책', '학교', '초등학생', '초등학교', '말듣쓰', '교재', '학습', '교과', '교과과목', '교과목', '교과서']",True,False
dataset1,19,인트로,"['감성', '그린스크린', '인트로', '브이로그', '프리뷰', '이모지', '이모티콘', '귀여운', '하이라이트', '키치', '크로마키', '데일리', '키치한']",True,True
dataset1,20,올림픽공원_송파구_88호수 (2),"['공원', '올림픽', '호수', '호숫가', '올림픽공원', '송파', '타임랩스', '팔팔', 'timelapse', '88', '88올림픽', '88호수', '호수변']",False,False
dataset1,21,DUCK POI,"['풍경', '자연', '물', '배경', '전경', '오리', '물가', '강', '하천', '강가']",False,False
dataset1,22,20210918_장소_선흘리_어느 농장2,['장소'],False,False
dataset1,23,황당(얼굴형),"['그린스크린', '황당', '피곤', '어이없음', '어이', '식은땀', '당황', '아픔', '다크서클', '기운', '기운빠짐', '기운없음', '표정']",True,True
dataset1,24,회색 음악 재생 플레이어,"['레트로', '그린스크린', '음악', '기계', '회색', '모션그래픽', '힙합', '발라드', '카세트플레이어', 'CD플레이어', '시디플레이어', '재생플레이어', '로파이', '전자기기', '스트리밍']",True,True
dataset1,26,전남영암범종각_핸드헬드,"['전통', '문화', '역사', '전남', '전라도', '전라남도', '전남영암범종각', '종', '종각']",False,False
dataset1,27,20210724_감정_문정수_억울하다,"['인물', '그린스크린', '불만', '대화', '감정', '남자', '크로마키', '억울', '설득', '답변', '변론', '변호']",False,True
dataset1,28,211005_문화_문화서울역~보신각_흥인지문 공원 성곽 패닝샷,"['전통', '문화', '한국', '문화재', '벽', '공원', '돌담', '수도', '전쟁', '도심', '역사', '성곽', '도성', '돌벽', '외벽']",False,False
dataset1,29,211007_문화_놀이_장기 픽스샷,"['전통', '문화', '할아버지', '한국', '게임', '취미', '지능', '장소', '싸움', '경쟁', '경기', '내기', '친선', '장기', '장기놀이', '장기판', '바둑판', '장기돌', '두뇌', '두뇌싸움']",False,False
dataset1,30,시티팝 로딩 숫자,"['90년대', '도트', '팝', '팩맨', '감성', '레트로', '90년', '픽셀', '그래픽', '시티팝', '뉴트로', '로딩바', '로딩', '숫자']",True,False
dataset1,31,20210725_소통_염승철,"['김동아_등을토닥거리다', '인물', '그린스크린', '소통', '크로마키', '다행', '위로', '안심', '괜찮아', '잘했어']",False,True
dataset1,33,(드론) 인천 송도 전경,"['도시', '건물', '경제', '발전', '전경', '빌딩', '기술', '인천', '드론', '고층', '중심부', '테크', '고층빌딩', '도심부', '송도', 'tech', '산업', '성장', '중심', '신기술', '기업']",False,False
dataset1,34,20210912_장소_망원한강공원_한강변으로 뛰어온 여자 픽스샷,['장소'],False,False
dataset1,35,20210724_제스처_김보미_노크하다,"['인물', '그린스크린', '손', '노크', '제스쳐', '주먹', '똑똑', '크로마키']",False,True
dataset1,37,여수,"['지도', '여수']",True,False
dataset1,38,성수구름다리_성동구_강북강변로 (5),"['도시', '자동차', '서울', '구름', '한강', '타임랩스', '교통', '강북강변로', '성수구름다리', '성동구']",False,False
dataset1,39,노랑 낙엽위에 누워있는 길고양이,"['검정', '노랑', '동물', '고양이', '가을', '휴식', '생물', '포유류', '야생', '아름다움', '낙엽', '4K', '야생동물', '귀여움', '낙엽잎', '은행', '길고양이', '길냥이', '검은고양이', '하품', '졸림', '편안', '추위']",False,False
dataset1,40,풍차1,"['나무', '한국', '유원지', '여행', '바람', '휴가', '풍차', '네덜란드', '날개']",False,False
dataset1,41,20210901_사물_크래파스_카키색,['사물'],False,False
dataset1,43,한국 전통문화 물레 위 반원형 무늬 찍어내는 도예가,"['인물', '직업', '전통', '흙', '도자기', '예술', '문화', '물레', '패턴', '무늬', '한국', '영상']",False,False
dataset1,44,동물원 헤엄치는 물개들,"['물', '바다', '동물', '포유류', '동물원', '야생', '4K', '야생동물', '수영', '귀여움', '모피', '물개', '멸종위기', '바다표범', '바다사자', '남극', '헤엄', '아쿠아리움', '수조관']",False,False
dataset1,45,20210918_장소_조천_스위스마을 전경(드론),['장소'],False,False
dataset1,47,로딩중,['로딩'],True,False
dataset1,48,라이브 카메라 화면,"['방송', '카메라', '촬영', '영상', '그린스크린', 'SNS', '크리에이터', '모션그래픽', '인스타', '인스타그램', '스트리밍', '라이브', '1인미디어', '페이스북', '소셜미디어']",True,True
dataset1,49,커서 클릭,"['감성', '그린스크린', '투명', '마우스', '커서', '클릭']",True,True
dataset1,50,천호대교_강동구_한강 (2),"['풍경', '도시', '물', '서울', '공원', '배경', '구름', '한강', '타임랩스', '한강공원', '다리', '강가', '천호', '천호대교', '강변']",False,False
dataset1,51,제스처_숫자를 세다(1~5),"['인물', '숫자', '손', '손가락', '제스쳐', '카운팅', '1', '2', '3', '4', '5']",False,False
dataset1,52,20210914_장소_성덕정 나들목_틸업샷,"['전통', '문화', '한국', '장소', '역사', '나들목', '성덕정']",False,False
dataset1,53,20210912_장소_서울역_서울로 위를 걷는 여자 상반신 팔로샷,"['밤', '저녁', '상쾌', '데이트', '장소', '청바지', '걷기', '여자', '서울', '시원', '감정', '바람', '쓸쓸', '퇴근', '서울역', '셔츠']",False,False
dataset1,54,복주머니 원숭이,"['캐릭터', '모션그래픽', '복', '한국전통', '새해', '명절', '행운', '일러스트', '근하신년', '2월', '1월', '연하장', '2023년', '전통문양', '희망', '구정', '신정', '원숭이', '원숭이띠']",True,False
dataset1,55,강남사거리_드론직부_회전,"['도시', '자동차', '서울', '회전', '도심', '드론', '항공샷', '드론샷', '드론뷰', '번잡', '교통', '강남', '강남사거리', '사거리', '교차로', '트래픽', '체증', '교통체증']",False,False
dataset1,56,20210724_장소_바다_광치기 해변에서 바라본 성산일출봉,"['풍경', '하늘', '장소', '바다', '파도', '제주도', '제주', '해변', '모래', '랜드마크', '모래사장', '해수욕장', '화산', '성산일출봉']",False,False
dataset1,57,20210911_사물_표지판_ 도로표지판 패닝샷,"['도로', '한국', '풍경', '사물', '하늘', '표지판', '교통', '간판', '표지', '양보']",False,False
dataset1,58,20210912_장소_서울역_건물 미디어 팟사드 픽스샷,"['장소', '건물', '서울', '움직이는', 'LED', '광고', '전광판', '미디어', '서울역', '파사드', '팟사드', '정광', '선전', '홍보', '전광']",True,False
dataset1,59,꽃 배경,"['꽃', '인트로', '아웃트로', '핑크', '배경', '프리뷰', '웨딩']",True,False
