Unnamed: 0,dataset,image_number,title,tags_ko,motion_exist,greenscreen_exist
0,dataset1,1,세개의 크리스마스 트리,"['나무', '겨울', '크리스마스', '산타', '캐롤', '전구', '장식', '연말']",True,True
1,dataset1,2,저수지마을_구름_일몰,"['시골', '일몰', '마을', '구름', '지붕', '전경', '산', '강물', '강', '강가', '저수지']",False,False
2,dataset1,3,염전 곰소 드론 -20 _2160p_30fps_prores422,"['바다', '농사', '갯벌', '염전', '소금']",False,False
3,dataset1,4,변산 솔섬 해변 일몰 석양 노을 -2 _2160p_60fps_prores422,"['나무', '일몰', '자연', '바다', '해', '산', '노을', '바닷가', '소나무', '석양']",False,False
4,dataset1,5,20210724_제스처_권미정_손가락을 비비다,"['인물', '손', '손가락', '제스쳐', '비비다']",False,True
5,dataset1,6,20211021 동물_개_말티즈_하리네쉼터_자리에 앉는 말티즈1,"['동물', '개', '강아지']",False,False
6,dataset1,7,20210724_소통_이수민,"['인물', '소통', '불만', '여자', '대화', '충격', '남자']",False,True
7,dataset1,8,20210724_감정_황태완_감사하다,"['인물', '인사', '사람', '감정', '남자', '감사']",False,True
8,dataset1,9,20211021 동물_개_스피츠2_하리네쉼터_서있는 스피츠3,"['옷', '동물', '털', '개', '강아지']",False,False
9,dataset1,10,좋아요 클릭,"['파랑', '버튼', '언론', '공유', '성공', '심벌', '어플리케이션', '추천', '소셜미디어']",True,True
10,dataset1,12,연잎에 맺힌 이슬3,"['자연', '그림', '식물', '연잎', '추상']",False,False
11,dataset1,15,20210724_소통_문정수,"['인물', '소통', '여자', '행복', '즐거움', '표현', '감정', '연인', '응원', '남자', '승리', '부부', '커플', '축구', '친구', '리액션', '기쁨', '골', '이김']",False,True
12,dataset1,16,211006_문화_서울시 랜드마크 동상,"['문화', '문화재', '서울', '조선', '랜드마크', '동상', '역사', '임금', '조선시대', '시대', '왕', '보존']",False,False
13,dataset1,17,서울숲 동상이 있는 광장 틸업샷,"['조각상', '미술', '조각', '사물', '장소', '서울', '공원', '식물', '가을', '풀', '대한민국', '랜드마크', '동상', '마스크']",False,False
14,dataset1,18,읽기 쓰기 말하기,"['키즈', '어린이', '교육', '학교', '초등학생', '초등학교']",True,False
15,dataset1,19,인트로,"['감성', '프리뷰', '이모지', '이모티콘', '귀여운', '하이라이트', '데일리']",True,True
16,dataset1,20,올림픽공원_송파구_88호수 (2),"['공원', '올림픽', '호수', '호숫가', '올림픽공원', '송파']",False,False
17,dataset1,21,DUCK POI,"['풍경', '자연', '물', '배경', '전경', '오리', '물가', '강', '하천', '강가']",False,False
18,dataset1,22,20210918_장소_선흘리_어느 농장2,['장소'],False,False
19,dataset1,23,황당(얼굴형),"['황당', '피곤', '어이', '식은땀', '당황', '아픔', '표정']",True,True
20,dataset1,24,회색 음악 재생 플레이어,"['레트로', '음악', '기계', '회색', '힙합']",True,True
21,dataset1,26,전남영암범종각_핸드헬드,"['전통', '문화', '역사', '전라도', '종']",False,False
22,dataset1,27,20210724_감정_문정수_억울하다,"['인물', '불만', '대화', '감정', '남자', '억울', '설득', '변론']",False,True
23,dataset1,28,211005_문화_문화서울역~보신각_흥인지문 공원 성곽 패닝샷,"['전통', '문화', '한국', '문화재', '벽', '공원', '돌담', '수도', '전쟁', '도심', '역사', '성곽', '도성']",False,False
24,dataset1,29,211007_문화_놀이_장기 픽스샷,"['전통', '문화', '할아버지', '한국', '게임', '취미', '장소', '싸움', '경기', '내기', '바둑판']",False,False
25,dataset1,30,시티팝 로딩 숫자,"['팝', '팩맨', '감성', '레트로', '픽셀', '시티팝', '로딩', '숫자']",True,False
